word_id,book_id,status,contract_source,requires_membership,no_auto_fallback,example_count,long_sentence_count,exam_example_count
cet4-w-dcc6b6de5d3f3f80ff02,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-b4e76965b5a7943279ac,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-560e8b954a1a6e8c9768,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-4ced4a567905ee623d9d,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-45384c5a5727e65aeb71,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-25dfe87120b7c0b3f123,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-4336a9e7fc5d08328b8e,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-798668299e6f528c3725,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-c87b5d351d670ef64440,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-f41aa887a6195a11b2ae,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-8bcbba84a7d7eab25b03,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-43ac0394e915760d27a8,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-8c8d138547024805cf9e,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-d3fb2c3206cf3fc68ee3,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-f51c719af127ab336448,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-385010cccc39746e3da1,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-88452520399cf5c4e49e,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-9cba42e078093d550bf2,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-7b27c3e81299f870cb00,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-f262db840d22de476630,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-196eea6931afa61926c6,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-50a30d1bad42f8113242,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-aef3be74ca48b7eb3d7b,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-ef0a124f24fcdea9f25a,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-da4d2d00a9e5fb8106e9,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-ddf68ca6cd54aa5da878,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-d84a36499767c2a3d0e3,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-eb44a3c9cc92e7b5e517,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-7050d50383e85d57962a,cyword-cet4,ready,cyword_original,false,true,1,1,0
cet4-w-593fc9aa437f4a7f8a46,cyword-cet4,ready,cyword_original,false,true,1,1,0
