word_id,root_id,link_index,target_identifier,target_type,target_id
68ab6915-216f-4cb9-ac5b-f4770ae7bebd,20d49c96-4f6a-40da-9d63-0e88727c611b,1,see,word,e7c93797-0833-40e6-b0db-eff1df71c656
bf24a206-d6b8-4b58-bd08-aee22a3d5808,ac7523d6-9e5f-4cff-bd04-0e001ef21a7a,1,trans-,prefix,c382c29f-affc-416a-8882-078f7af11696
e560a365-f384-48ea-bb0e-16f83cb10387,de761270-a58d-4822-8a24-110b2521fb24,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
e560a365-f384-48ea-bb0e-16f83cb10387,65331aac-4aba-4298-b3a0-3734e80f0c39,1,en-,prefix,de761270-a58d-4822-8a24-110b2521fb24
09de9eb6-5bde-44b4-81c1-5145759489af,c51a8e11-69c9-4469-b362-65f433a0d955,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
8f4dafed-ccc8-417e-adec-bc10c39d86ec,d45616c9-cc3f-4c5e-8516-6bec74b7ed38,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
318796cf-b684-4a58-b945-2ddcc5609c55,eb2dab21-d31e-4dbd-bb90-255c046203a6,1,on,word,3090e71f-ead1-49e6-8ef2-520fb888aaf2
318796cf-b684-4a58-b945-2ddcc5609c55,634a504b-5b9d-4b60-9e70-be335a2110a8,1,great,word,54eb13d2-581c-4fcc-bb20-3ee00fbe0a21
b0805971-d99c-41de-bb21-9d9ff49693a4,c51a8e11-69c9-4469-b362-65f433a0d955,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
b0805971-d99c-41de-bb21-9d9ff49693a4,4f6356c3-9b65-44e6-864e-d919e856f8b7,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
443c4f81-060e-4551-aaac-16368efcbc88,4f6356c3-9b65-44e6-864e-d919e856f8b7,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
f511b2e0-e72d-4b5e-b9e3-202ed9d46351,b59fb64a-6110-4b69-84e0-f9a00b678191,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
79b31af7-b49f-42d9-b595-8a463d7a022c,26730eeb-c56e-454d-b9d3-720841ded030,1,no,word,1e07c7e4-8b6f-43c3-9c7a-9916d745441f
04e2c888-2ea9-4b54-98ac-abdb9c754bff,e9081b64-24c5-45e6-ab9e-64161a4b9d55,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
e2e76bc6-ac70-4680-a68e-64a85d9e5b50,e597496b-86a4-4c51-acd9-180233971432,1,man,word,4b5ad6eb-4874-49e1-88ba-adc244daec95
e2e76bc6-ac70-4680-a68e-64a85d9e5b50,e597496b-86a4-4c51-acd9-180233971432,2,many,word,19ea1058-f166-434c-b2b8-c5cfe3a3680b
3c1f093c-3bca-4b0d-bec1-684e50dbe669,e9081b64-24c5-45e6-ab9e-64161a4b9d55,1,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
266f87e2-2d93-4ad2-a791-db3db12a0b98,c51a8e11-69c9-4469-b362-65f433a0d955,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
664ad8e8-765c-4906-bffe-67c49bc501d0,c51a8e11-69c9-4469-b362-65f433a0d955,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
