word_id,word_order,canonical_spelling,variants_json,entry_kind,source_roles,source_count,first_source_entry_id,homograph_sources
cet4-w-c0fd2ee8dcbbb3b36504,61,achievement,[],word,listed_related,1,cet2016-p022-r03-c2,0
cet4-w-6db3ca8c9f5f7f74501f,62,acid,[],word,headword,1,cet2016-p022-r04-c1,0
cet4-w-bfffcba4cb08b4f5422e,63,acidity,[],word,listed_related,1,cet2016-p022-r04-c2,0
cet4-w-5e9f2bb803ec3bbd7f59,64,acknowledge,[],word,headword,1,cet2016-p022-r05-c1,0
cet4-w-c2c4b9de3e51ca864c7d,65,acknowledgement,[],word,listed_related,1,cet2016-p022-r05-c2,0
cet4-w-029cb66143b2c6377b03,66,acquaint,[],word,headword,1,cet2016-p022-r06-c1,0
cet4-w-ca462313c254fd6ecb87,67,acquaintance,[],word,listed_related,1,cet2016-p022-r06-c2,0
cet4-w-81853f95f10e012cafad,68,acquire,[],word,headword,1,cet2016-p022-r07-c1,0
cet4-w-bdb4812be6fe730050b8,69,acquisition,[],word,listed_related,1,cet2016-p022-r07-c2,0
cet4-w-71a91c5bc1d36cf51b9e,70,acre,[],word,headword,1,cet2016-p022-r08-c1,0
cet4-w-479267915f30dce80612,71,across,[],word,headword,1,cet2016-p022-r09-c1,0
cet4-w-dcc6b6de5d3f3f80ff02,72,act,[],word,headword,1,cet2016-p022-r10-c1,0
cet4-w-12952370deeb322c92b6,73,acting,[],word,listed_related,1,cet2016-p022-r10-c3,0
cet4-w-b4e76965b5a7943279ac,74,action,[],word,listed_related,1,cet2016-p022-r10-c2,0
cet4-w-560e8b954a1a6e8c9768,75,active,[],word,headword,1,cet2016-p022-r12-c1,0
cet4-w-fe4ad424f609f1c6e502,76,activist,[],word,listed_related,1,cet2016-p022-r12-c3,0
cet4-w-4ced4a567905ee623d9d,77,activity,[],word,listed_related,1,cet2016-p022-r12-c2,0
cet4-w-45384c5a5727e65aeb71,78,actor,[],word,headword,1,cet2016-p022-r13-c1,0
cet4-w-996e8063308235c5ef59,79,actress,[],word,listed_related,1,cet2016-p022-r13-c2,0
